Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,ColumnMapping,4,0,7,7,61,9,0,0,0.0,6,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,OffsetProtocols,0,0,2,2,25,2,0,0,-1.0,2,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTask,9,1,10,6,245,41,0,0,0.2,3,10
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,12,0,9,6,134,25,0,1,0.0,0,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,SchemaMapping,4,0,9,5,95,13,0,0,0.3333333333333333,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,FieldSetter,2,0,4,2,34,5,0,0,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfig,4,2,2,2,19,3,0,1,1.0,10,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,108,50,27,22,299,41,1,0,0.37037037037037035,17,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableRecommender,0,0,2,2,28,4,0,0,-1.0,0,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,CachingRecommender,4,0,3,3,30,4,0,0,0.6666666666666666,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,CachedRecommenderValues,3,0,3,3,19,4,0,0,0.6666666666666666,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,ModeDependentsRecommender,0,0,2,2,23,7,0,0,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,EnumRecommender,2,0,6,5,32,8,0,0,0.5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,SourceConnectionProvider,0,0,2,0,9,2,0,0,-1.0,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,BulkTableQuerier,1,0,5,3,60,10,0,1,0.8,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableQuerier,11,0,14,9,104,21,2,0,0.14285714285714285,2,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConstants,5,5,0,0,7,0,0,0,-1.0,7,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingOffset,6,0,7,7,69,15,0,0,0.0,6,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TableMonitorThread,11,0,5,4,141,22,0,0,0.0,2,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,3,0,15,13,156,18,0,0,0.4666666666666667,0,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,SqliteHelper,2,2,9,8,60,10,0,0,0.2222222222222222,7,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,ResultSetReadCallback,0,0,1,0,3,1,0,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,BufferedRecordsTest,2,0,13,9,199,14,0,0,0.0,0,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,DbStructureTest,1,0,8,4,33,9,0,0,0.375,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,SqliteHelperTest,1,0,3,3,68,4,0,0,0.0,0,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,1,0,5,5,41,5,0,0,0.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,2,0,6,5,97,6,0,0,0.5,0,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,1,0,4,4,67,4,0,0,0.0,0,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,0,0,10,10,80,10,0,0,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkTask,5,0,6,5,79,11,0,0,0.5,1,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,DbStructure,3,0,6,3,116,23,0,0,0.0,6,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,PreparedStatementBinder,6,0,7,4,97,21,0,0,0.0,1,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcDbWriter,6,0,6,1,62,12,0,0,0.0,3,6
