Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,validatePollResultTable,6,2,3,191,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,tearDown,4,1,0,58,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,23,1,0,64,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testIncrementingInvalidColumn,5,1,0,95,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInvalidColumn,5,1,0,109,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementing,3,1,0,123,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualId,3,1,0,128,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualCustomId,3,1,0,133,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,13,1,2,138,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,12,1,0,164,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestamp,3,1,0,190,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampManualOffset,3,1,0,195,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampCustomOffset,3,1,0,200,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,15,1,2,205,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,12,1,0,248,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,16,1,0,282,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,11,1,0,321,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInNonUtcTimezone,10,1,0,351,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInInvalidTimezone,5,1,0,372,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,11,1,0,388,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreNoVersionOffset,4,1,0,420,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreVersionOneOffset,4,1,0,428,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffsetsWithMultipleProtocol,8,1,0,436,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,10,1,1,447,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreNoVersionOffset,4,1,0,467,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreVersionOneOffset,4,1,0,475,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffsetsWithMultipleProtocol,8,1,0,483,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,11,1,1,494,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreNoVersionOffset,4,1,0,519,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreVersionOneOffset,4,1,0,525,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffsetsWithMultipleProtocol,8,1,0,533,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,10,1,1,547,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreNoVersionOffset,4,1,0,578,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreVersionOneOffset,4,1,0,586,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffsetsWithMultipleProtocol,8,1,0,594,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,12,1,1,605,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,26,1,0,642,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,14,1,0,680,1,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,startTask,3,1,3,720,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,startTask,6,1,7,724,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,mode,16,4,2,736,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,taskConfig,26,7,8,750,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyIncrementingFirstPoll,7,1,1,783,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyMultiTimestampFirstPoll,9,1,1,791,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyTimestampFirstPoll,9,1,1,801,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyIncrementingAndTimestampFirstPoll,4,1,1,811,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyIncrementingAndMultiTimestampFirstPoll,4,1,1,816,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,verifyPoll,22,6,7,821,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,countInts,0,7,3,863,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,countIntValues,3,1,2,903,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,countTimestampValues,3,1,2,907,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,countIntIncrementingOffsets,3,1,2,911,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,assertIncrementingOffsets,8,2,1,916,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,assertTimestampOffsets,7,2,1,927,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,assertMultiTimestampOffsets,10,3,1,937,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,assertRecordsTopic,5,2,2,949,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,assertRecordsSourcePartition,5,2,2,955,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testSingleLookup,17,2,1,96,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testWhitelist,10,1,1,116,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testBlacklist,10,1,1,131,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testReconfigOnUpdate,13,1,1,146,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testInvalidConnection,11,1,1,167,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testDuplicates,14,2,1,182,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testDuplicateWithUnqualifiedWhitelist,15,2,1,200,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testDuplicateWithUnqualifiedBlacklist,15,2,1,220,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testDuplicateWithQualifiedWhitelist,15,2,1,239,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,testDuplicateWithQualifiedBlacklist,15,2,1,259,0,io.aiven.connect.jdbc.source.TableMonitorThreadTest,io.aiven.connect.jdbc.source.TableMonitorThreadTest
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,newTableMonitorThread,3,1,3,278,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,shutdownThread,8,1,0,295,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,execute,3,1,0,297,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,checkTableNames,13,2,1,304,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,execute,8,2,0,306,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,checkTableIds,3,1,1,318,0,,
jdbc,io.aiven.connect.jdbc.source,TableMonitorThreadTest,expectTableNames,12,3,2,322,0,,
jdbc,io.aiven.connect.jdbc.source,MockTime,MockTime,3,1,0,34,0,,
jdbc,io.aiven.connect.jdbc.source,MockTime,MockTime,4,1,1,38,0,,
jdbc,io.aiven.connect.jdbc.source,MockTime,milliseconds,4,1,0,43,0,io.aiven.connect.jdbc.source.MockTime,io.aiven.connect.jdbc.source.MockTime
jdbc,io.aiven.connect.jdbc.source,MockTime,hiResClockMs,3,1,0,49,0,io.aiven.connect.jdbc.source.MockTime,io.aiven.connect.jdbc.source.MockTime
jdbc,io.aiven.connect.jdbc.source,MockTime,nanoseconds,4,1,0,54,0,io.aiven.connect.jdbc.source.MockTime,io.aiven.connect.jdbc.source.MockTime
jdbc,io.aiven.connect.jdbc.source,MockTime,sleep,3,1,1,60,0,,
jdbc,io.aiven.connect.jdbc.source,MockTime,waitObject,14,4,3,65,0,io.aiven.connect.jdbc.source.MockTime,io.aiven.connect.jdbc.source.MockTime
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,setup,5,1,0,74,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,tearDown,4,1,0,81,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,singleTableConfig,3,1,0,87,0,io.aiven.connect.jdbc.source.JdbcSourceTaskTestBase,io.aiven.connect.jdbc.source.JdbcSourceTaskTestBase
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,singleTableConfig,14,2,1,91,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,twoTableConfig,8,1,0,106,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,expectInitialize,4,1,2,115,0,,
