Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sink,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,Feature Envy,The tool detected a instance of this smell because sameRecordNTimes is more interested in members of the type: SqliteHelper
sink,io.aiven.connect.jdbc.sink,SqliteHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dbPath; connection
sink,io.aiven.connect.jdbc.sink,SqliteHelper.ResultSetReadCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sink,io.aiven.connect.jdbc.sink,SqliteHelperTest,Feature Envy,The tool detected a instance of this smell because returnTheDatabaseTableInformation is more interested in members of the type: SqliteHelper
sink,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,Feature Envy,The tool detected a instance of this smell because putPropagatesToDbWithPkModeRecordValue is more interested in members of the type: SqliteHelper
