Project Name,Package Name,Type Name,Code Smell
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConstants,Unnecessary Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConstants,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConstants,Broken Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,SqliteHelper,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,BufferedRecordsTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,SqliteHelperTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConfig,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,EnumValidator,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,FieldsMetadata,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,SchemaPair,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc,JdbcSourceConnectorTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,PostgreSqlDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,PostgreSqlDatabaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,VerticaDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,VerticaDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqlServerDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqlServerDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SybaseDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SybaseDatabaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,BaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,BaseDialectTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,BaseDialectTest,Wide Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,BaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,OracleDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,OracleDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialectsTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialectTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTypeTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTypeTest,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Db2DatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Db2DatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Db2DatabaseDialectTest,Insufficient Modularization
