Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,columnNamesWithPrefix,7,1,1,198,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,create,3,1,0,211,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,ExpressionBuilder,3,1,0,224,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,ExpressionBuilder,4,1,2,231,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifierDelimiter,4,1,0,241,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendLeadingQuote,4,1,0,252,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendTrailingQuote,4,1,0,263,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendStringQuote,4,1,0,274,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendStringQuoted,6,1,1,284,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifier,10,3,2,297,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendIdentifier,10,3,1,320,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendBinaryLiteral,3,1,1,339,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendNewLine,4,1,0,350,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,append,9,3,2,360,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,append,3,1,1,382,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,append,9,2,2,395,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendList,3,1,0,456,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,appendMultiple,9,3,3,460,0,io.aiven.connect.jdbc.util.ExpressionBuilder,io.aiven.connect.jdbc.util.ExpressionBuilder
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ExpressionBuilder,toString,3,1,0,474,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,3,1,1,40,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,3,1,2,51,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,IdentifierRules,5,1,3,66,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,identifierDelimiter,3,1,0,86,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,leadingQuoteString,3,1,0,95,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,trailingQuoteString,3,1,0,104,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,expressionBuilder,3,1,1,113,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,parseQualifiedIdentifier,42,8,1,122,0,io.aiven.connect.jdbc.util.IdentifierRules,io.aiven.connect.jdbc.util.IdentifierRules
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,IdentifierRules,escapeQuotesWith,6,2,1,171,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CollectionUtils,CollectionUtils,2,1,0,22,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CollectionUtils,isEmpty,3,1,1,25,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ConnectionProvider,getConnection,0,1,0,28,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ConnectionProvider,isConnectionValid,0,1,2,36,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ConnectionProvider,close,0,1,0,52,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ConnectionProvider,identifier,3,1,0,57,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DateTimeUtils,getTimeZoneCalendar,3,1,1,42,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DateTimeUtils,formatDate,8,1,2,46,0,,
