Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinitions,3,0,3,3,48,6,0,0,0.0,1,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/util/TableDefinitions.java,30
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,15,0,23,23,201,27,0,0,0.0,9,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/util/ColumnDefinition.java,23
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition.Nullability,0,0,0,0,4,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/util/ColumnDefinition.java,25
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition.Mutability,0,0,0,0,4,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/util/ColumnDefinition.java,32
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,6,0,13,10,110,15,0,0,0.46153846153846156,0,4,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfigTest.java,45
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,1,1,35,33,172,38,0,1,0.08571428571428572,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskConversionTest.java,50
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,0,0,5,5,42,5,0,0,-1.0,0,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskConfigTest.java,35
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,12,0,8,7,72,11,0,0,0.0,0,4,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TimestampIncrementingCriteriaTest.java,42
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,0,0,8,7,113,13,0,1,-1.0,0,6,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskLifecycleTest.java,36
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,2,0,56,31,0,82,0,1,0.10714285714285714,0,7,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskUpdateTest.java,50
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest.Field,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskUpdateTest.java,855
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThreadTest,24,2,17,12,203,27,0,0,0.0,0,5,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TableMonitorThreadTest.java,55
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThreadTest.Op,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TableMonitorThreadTest.java,291
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,MockTime,2,0,7,7,42,10,0,0,0.0,2,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/MockTime.java,26
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,14,0,9,2,77,12,3,0,0.0,0,8,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/JdbcSourceTaskTestBase.java,40
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby,9,0,18,14,228,34,0,0,0.1111111111111111,6,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,35
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.CaseSensitive,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,262
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.TableName,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,276
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.ColumnName,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,283
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.Condition,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,290
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.EqualsCondition,2,0,0,0,11,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,297
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.Literal,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/EmbeddedDerby.java,314
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,8,0,7,7,63,7,0,0,0.0,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/TimestampIncrementingOffsetTest.java,27
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,NumericMappingConfigTest,1,0,3,3,20,4,0,0,0.6666666666666666,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/source/NumericMappingConfigTest.java,32
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteria,5,0,17,4,212,33,1,0,0.0,2,4,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TimestampIncrementingCriteria.java,40
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingCriteria.CriteriaValues,0,0,0,0,23,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TimestampIncrementingCriteria.java,42
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,ColumnMapping,4,0,7,7,61,9,0,0,0.0,5,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/ColumnMapping.java,28
